resp.rt,resp.key,
0.334781956491,space,
0.278207096922,space,
0.2666079796,space,
0.348232874494,space,
0.264995795849,space,
0.293967337882,space,
0.294181295667,space,
0.325848626839,space,
0.320697849766,space,
0.308683054307,space,
0.212495213582,space,
0.230706100167,space,
0.30897122623,space,
0.304423241658,space,
0.290706258067,space,
0.314229771713,space,
0.252367944231,space,
0.211158964321,space,
0.337207732482,space,
0.299194302883,space,
0.280339174406,space,
0.327014341488,space,
0.252278334603,space,
0.242553124299,space,
0.257467797775,space,
0.261518389711,space,
0.226381152766,space,
0.314111739652,space,
0.385427185272,space,
0.286679746248,space,
0.281487519784,space,
0.283207471941,space,
0.253231670489,space,
0.255220451523,space,
0.255255190055,space,
0.274358225335,space,
0.271020562843,space,
0.220694296957,space,
0.266091243917,space,
0.312399287861,space,
